Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,Vera Molnár,"Hungarian Artist, 1924~2023",Vera Molnár was a Hungarian media artist who lived and worked in France. Molnár is widely considered to have been a pioneer of computer art and generative art and was also one of the first women to use computers in her art practice.,"https://artlogic-res.cloudinary.com/w_1100,c_limit,f_auto,fl_lossy,q_auto:good/ws-ropac/usr/images/artworks/main_image/items/05/05fd6865c7f24ef6878e59503fe61350/vem_1016_300dpi.jpg",,"Vera Molnár, Molndrian, 74,066/13.36.22, 1974, Computer drawing, 26 x 26 cm",,https://ropac.net/artists/231-vera-molnar/,"ComputerArt, 1970s, Artist", 
leftDoubleImage,Lauren Lee McCarthy,"Artist, USA, creator of P5js","Lauren Lee McCarthy is an artist examining social relationships in the midst of automation, surveillance, and algorithmic living. She has received grants and residencies from Creative Capital, United States Artists, LACMA, Sundance, Eyebeam, Pioneer Works, Autodesk, and Ars Electronica, and her work is in the collection of the Whitney Museum of American Art. Her work SOMEONE was awarded the Ars Electronica Golden Nica and the Japan Media Arts Social Impact Award, and her work LAUREN was awarded the IDFA DocLab Award for Immersive Non-Fiction. . Lauren is also the creator of p5.js, an open-source art and education platform that prioritizes access and diversity in learning to code, with over 10 million users. She expanded on this work in her role from 2015–21 on the Board of Directors for the Processing Foundation, whose mission is to serve those who have historically not had access to the fields of technology, code, and art in learning software and visual literacy. Lauren is a Professor at UCLA Design Media Arts. She holds an MFA from UCLA and a BS Computer Science and BS Art and Design from MIT.

""I am working with performance, software, electronics, internet, film, photography, installation. My work exists within and beyond the gallery, seeking edges of art and media performance. There are different layers of experience, from the intimate performance to a much wider audience invited in through the ripples of viral videos and media coverage.Each work feels like an attempt to hack my way out of myself and into closeness with others. I am embodying machines, trying to understand that distance between the algorithm and myself, the distance between others and me. Vera Molnár was a Hungarian media artist who lived and worked in France. Molnár is widely considered to have been a pioneer of computer art and generative art and was also one of the first women to use computers in her art practice.""",https://freight.cargo.site/w/1500/q/75/i/65963998f6eef928cf091ece4efdf01553217479791230b8c1c1f14f1dc3372a/Selphish-Lauren-McCarthy-Autocomplete_4731_2.jpg,https://freight.cargo.site/w/1500/q/75/i/0721e847e235ede4c18e203cb305ef22ac94f6a4fc76f09ae5349b368a36d450/seeing-voices8.jpg,"Autoreply, 2020",Seeing Voices is a series of AI images generated by the performance Voice In My Head.,https://lauren-mccarthy.com/,"CreativeCoding, Javascript, Artist, P5js",
leftDoubleImage,"My Boyfriend Came Back from the War, Olia Lialina",Russian artist and net art pioneer,hello,https://static.frieze.com/files/inline-images/web-mbcbftw-netscape-3.jpeg, https://elephant.art/wp-content/uploads/2020/03/My-Boyfriend-Came-Back-from-the-War-1996.png," Screenshot from My Boyfriend Came Back from the War, 1996"," Another screenshot from My Boyfriend Came Back from the War, 1996",http://www.teleportacia.org/war/," NetArt, EarlyWeb, Hypertext, Interface",
leftDoubleImage,"Mouchette.org, Martine Neddam",Dutch artist creating fictional internet identities,hello,./images/mouchette.png,./images/mouchette2.png," Homepage of Mouchette.org, 1997"," Mouchette.org 7 songs, 1997", https://www.mouchette.org/,"Persona, NetArt, Girlhood, UIPlay",
leftDoubleImage,"SOMEONE, Lauren Lee McCarthy"," Artist, coder, p5.js creator",hello,https://freight.cargo.site/w/750/i/3b7c391f59a5dd125715eeb440be8f7f0ceb41a190315bd5853e5ff9b00b8846/IMG_8059.JPG,https://freight.cargo.site/w/750/i/0508e180a6d6cb0909d582da36d9194bea953b85fa3217a2f3c01ce5819da970/_SP_6180-web.jpg,"SOMEONE, performance still, 2017","SOMEONE, performance still, 2017",https://lauren-mccarthy.com/SOMEONE,"Surveillance, Intimacy, p5js, SmartHome",
leftDoubleImage,"Does This Seem More Professional?, Molly Soda",Digital artist and performer,hello,https://images.squarespace-cdn.com/content/v1/5702ab9d746fb9634796c9f9/1552774251565-R4KX20VVTX44NUDXP11Q/CleaningMyDesktop_HR.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/5702ab9d746fb9634796c9f9/1583339245002-PEATCF8CC4KOY5CJ28VB/u+got+this.png?format=2500w,"Screenshot of Does This Seem More Professional?, 2015","Screenshot of Does This Seem More Professional?, 2015", https://mollysoda.exposed/,"Webcam, FeminineUI, Confessional, BrowserPerformance",
leftDoubleImage,"Concrete Cowgirl, Matilda Sutherland ",Designer exploring poetic code,hello,./images/matilda.png,./images/matilda.png,Screenshot from Concrete Cowgirl,Screenshot from Concrete Cowgirl,https://www.matildasutherland.com/concrete_cowgirl/,"HTMLPoetry, ConcretePoem, WebAesthetics",
leftDoubleImage,Delta_t,Online publication of code-based poetic works,hello,./images/delta.png,./images/delta3.png,Screenshot from Delta_t digital poetry journal,Screenshot from Delta_t digital poetry journal,https://code-poetry.com/delta_t,"CodePoetry, SyntaxArt, DigitalLiterature",
left,"Real Virtual Feelings, Ani Liu",Artist working with biotech and emotion,hello,https://images.squarespace-cdn.com/content/v1/52cd9799e4b00ae3ac706ed4/1543022035799-SM1OSHGGQ6YDYE2Q19G9/real+virtual+feelings.jpg?format=1500w,,"Still from Real Virtual Feelings, 2018",,https://ani-liu.com/real-virtual-feelings,"Biotech, AffectiveComputing, FeminineTech",
leftDoubleImage,"Cyberfeminism Index, Mindy Seu"," Curated index of cyberfeminist projects, practices, and theory",hello,./images/index.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBKniX6SRkVKsLfLiB6zbnVb0qEzxRzor_Ow&s,Homepage of the Cyberfeminism Index,Page from physical paperback ,https://cyberfeminismindex.com,"Cyberfeminism, Archive, FeministTech, DigitalHistory",
leftDoubleImage,"My Little Piece of Privacy, Niklas Roy",Interactive installation artist,hello,https://www.niklasroy.com/images/curtain_01.JPG,https://www.niklasroy.com/images/curtain_04.JPG,"Still from My Little Piece of Privacy, 2010","Still from My Little Piece of Privacy, 2010",https://www.niklasroy.com/project/88/my-little-piece-of-privacy,"InteractiveInstallation, Refusal, Surveillance, MotionSensor",
leftDoubleImage,"Pulse Topology, Rafael Lozano-Hemmer"," Media artist working with architecture, participation, and biometric data",hello,https://bimmerlife.com/wp-content/uploads/2022/05/P90465736_highRes_rafael-lozano-hemmer-scaled.jpg,https://mediapool.bmwgroup.com/cache/P9/202206/P90468879/P90468879-on-occasion-of-art-basel-in-basel-2022-superblue-and-bmw-i-present-rafael-lozano-hemmer-pulse-topolo-600px.jpg,Installation view of Pulse Topology,Interactivity  of Pulse Topology,https://www.lozano-hemmer.com/pulse_topology.php,"Biofeedback, SensorArt, LightInstallation",
left,"he Carrier Bag Theory of Fiction, Ursula K. Le Guin", Science fiction writer and theorist,hello,https://freight.cargo.site/t/original/i/d6dae280b1648dd189a128bba042f6ecca15f34181fb78fb1aab0f4f7fc92f77/carrier.png,, Cover of The Carrier Bag Theory of Fiction,,https://stillmoving.org/resources/the-carrier-bag-theory-of-fiction,"FeministTheory, NarrativeForm, SoftDesign",
